ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII,logRT,Ph,NB
21,1,2,173,0,894,1,zhuai2,Zuai2,6.79570577517351,2.7038,11
21,20,10,1489,1,401,1,zhuai2,Zuai2,5.99396142730657,2.7038,11
21,22,8,1182,1,2753,1,zhuai2,Zuai2,7.92044650514261,2.7038,11
21,8,3,421,0,1306,1,zhuai2,Zuai2,7.17472430983638,2.7038,11
22,2,4,594,0,2453,1,mui4,mui4,7.80506704425849,1.7088,2
22,8,3,400,0,2560,1,mui4,mui4,7.84776253747361,1.7088,2
22,20,4,537,1,494,1,mui4,mui4,6.20253551718792,1.7088,2
22,1,5,649,0,414,1,mui4,mui4,6.02586597382531,1.7088,2
22,22,1,78,0,2315,1,mui4,mui4,7.74716496652033,1.7088,2
23,8,2,216,1,2072,1,rvi2,ryei2,7.63626960337937,2.1685,0
23,2,1,137,1,1354,1,rvi2,ryei2,7.21081845347222,2.1685,0
23,22,4,613,1,1949,1,rvi2,ryei2,7.57507169950756,2.1685,0
23,20,1,113,1,343,1,rvi2,ryei2,5.83773044716594,2.1685,0
23,1,1,38,0,1824,1,rvi2,ryei2,7.50878717063428,2.1685,0
24,22,10,1452,0,752,1,kiong1,KioN1,6.62273632394984,2.9172,5
24,1,5,741,0,1236,1,kiong1,KioN1,7.11963563801764,2.9172,5
24,20,6,849,1,232,1,kiong1,KioN1,5.44673737166631,2.9172,5
24,2,2,210,1,1809,1,kiong1,KioN1,7.50052948539529,2.9172,5
24,8,6,825,0,998,1,kiong1,KioN1,6.90575327631146,2.9172,5
25,22,7,1062,0,1773,1,cvao4,Cyau4,7.48042830607421,1.8416,1
25,1,6,884,0,573,1,cvao4,Cyau4,6.35088571671474,1.8416,1
25,8,8,1215,1,440,1,cvao4,Cyau4,6.08677472691231,1.8416,1
25,2,9,1370,0,1528,1,cvao4,Cyau4,7.33171496972647,1.8416,1
26,2,10,1565,0,2107,1,zue3,cu^3,7.65302041380419,2.2441,9
26,22,4,575,0,2978,1,zue3,cu^3,7.99900721324395,2.2441,9
26,1,1,73,0,1190,1,zue3,cu^3,7.08170858610557,2.2441,9
26,8,9,1369,1,545,1,zue3,cu^3,6.30078579466324,2.2441,9
27,22,3,448,0,3365,1,ci3,Ci3,8.12118324207883,1.8696,19
27,2,2,233,1,1807,1,ci3,Ci3,7.49942329059223,1.8696,19
27,8,7,1060,1,797,1,ci3,Ci3,6.68085467879022,1.8696,19
27,1,2,257,0,1036,1,ci3,Ci3,6.94312242281943,1.8696,19
28,8,2,200,0,1490,1,puang4,PuaN4,7.30653139893951,2.858,8
28,1,2,301,0,1965,1,puang4,PuaN4,7.58324752430336,2.858,8
28,22,2,186,1,2543,1,puang4,PuaN4,7.84109976542212,2.858,8
28,2,10,1470,0,759,1,puang4,PuaN4,6.63200177739563,2.858,8
29,2,4,494,0,1866,1,din1,tin1,7.53155238140729,2.8857,16
29,8,2,249,1,1317,1,din1,tin1,7.18311170174328,2.8857,16
29,1,4,548,1,1364,1,din1,tin1,7.21817683840341,2.8857,16
29,22,8,1215,1,1171,1,din1,tin1,7.06561336359772,2.8857,16
30,2,8,1195,0,794,1,tuai2,Tuai2,6.67708346124714,2.4068,10
30,1,5,685,0,1124,1,tuai2,Tuai2,7.02464903045364,2.4068,10
30,8,10,1493,1,868,1,tuai2,Tuai2,6.76619171466035,2.4068,10
30,22,7,1019,0,2090,1,tuai2,Tuai2,7.64491934495886,2.4068,10
31,1,7,1038,1,1211,1,ne2,n^2,7.09920174355309,0.9456,25
31,8,8,1132,1,1446,1,ne2,n^2,7.27655640271871,0.9456,25
31,22,2,231,0,1504,1,ne2,n^2,7.31588350450979,0.9456,25
31,2,6,819,0,675,1,ne2,n^2,6.51471269087253,0.9456,25
32,2,1,139,1,1071,1,jie1,ji^1,6.97634807044775,3.8092,16
32,8,5,767,0,1168,1,jie1,ji^1,7.06304816338817,3.8092,16
32,22,10,1511,0,753,1,jie1,ji^1,6.62406522779989,3.8092,16
32,20,10,1582,1,236,1,jie1,ji^1,5.46383180502561,3.8092,16
32,1,6,838,0,514,1,jie1,ji^1,6.24222326545517,3.8092,16
33,2,4,530,0,746,1,fve2,fye2,6.61472560020376,2.3226,2
33,22,5,693,0,2848,1,fve2,fye2,7.95437227253187,2.3226,2
33,8,5,648,0,825,1,fve2,fye2,6.71538338633468,2.3226,2
33,1,8,1141,0,554,1,fve2,fye2,6.31716468674728,2.3226,2
34,1,6,852,0,595,1,zhiu2,Ziou2,6.38856140554563,1.8922,1
34,2,6,922,0,518,1,zhiu2,Ziou2,6.24997524225948,1.8922,1
34,8,9,1286,0,675,1,zhiu2,Ziou2,6.51471269087253,1.8922,1
34,22,10,1537,1,2362,1,zhiu2,Ziou2,7.76726399675731,1.8922,1
35,8,9,1368,0,317,1,quang1,quaN1,5.75890177387728,3.2847,9
35,22,5,791,0,2198,1,quang1,quaN1,7.69530313496357,3.2847,9
35,1,7,1064,0,1252,1,quang1,quaN1,7.13249755166004,3.2847,9
35,20,2,229,1,267,1,quang1,quaN1,5.58724865840025,3.2847,9
35,2,1,156,1,2160,1,quang1,quaN1,7.67786350067821,3.2847,9
36,1,9,1397,0,1087,1,quang2,quaN2,6.99117688712121,3.2847,9
36,2,10,1526,0,817,1,quang2,quaN2,6.70563909486,3.2847,9
36,8,1,10,1,2487,1,quang2,quaN2,7.8188324438034,3.2847,9
36,22,10,1447,0,652,1,quang2,quaN2,6.48004456192665,3.2847,9
37,20,4,550,1,283,1,qe4,q^4,5.64544689764324,1.7959,20
37,1,7,964,0,857,1,qe4,q^4,6.75343791859778,1.7959,20
37,2,9,1314,0,820,1,qe4,q^4,6.7093043402583,1.7959,20
37,22,10,1450,0,609,1,qe4,q^4,6.4118182677099,1.7959,20
37,8,8,1147,0,763,1,qe4,q^4,6.63725803128446,1.7959,20
38,8,10,1452,1,871,1,diao2,tiau2,6.7696419768525,2.6329,13
38,1,7,1084,0,965,1,diao2,tiau2,6.87212810133899,2.6329,13
38,22,1,62,1,2657,1,diao2,tiau2,7.88495294575981,2.6329,13
38,20,1,112,1,347,1,diao2,tiau2,5.84932477994686,2.6329,13
38,2,2,211,0,1765,1,diao2,tiau2,7.4759059693674,2.6329,13
39,8,8,1154,0,616,1,hvang3,hyaN3,6.42324696353352,2.6817,2
39,1,6,818,0,553,1,hvang3,hyaN3,6.31535800152233,2.6817,2
39,2,1,38,0,2177,1,hvang3,hyaN3,7.68570306123455,2.6817,2
39,20,4,508,1,1845,1,hvang3,hyaN3,7.52023455647463,2.6817,2
39,22,1,81,0,1554,1,hvang3,hyaN3,7.34858753092759,2.6817,2
40,1,6,842,0,524,1,sv4,sy4,6.26149168432104,1.6827,7
40,22,1,8,1,1635,1,sv4,sy4,7.39939808333135,1.6827,7
40,8,10,1536,0,728,1,sv4,sy4,6.59030104819669,1.6827,7
40,2,9,1345,0,1490,1,sv4,sy4,7.30653139893951,1.6827,7
41,2,5,671,0,889,1,svang3,syaN3,6.7900972355139,2.6817,1
41,1,5,713,0,737,1,svang3,syaN3,6.60258789218934,2.6817,1
41,8,4,573,1,1978,1,svang3,syaN3,7.58984151218266,2.6817,1
41,22,8,1193,0,715,1,svang3,syaN3,6.57228254269401,2.6817,1
42,2,2,212,0,2711,1,riao3,riau3,7.90507284949867,2.0415,12
42,1,4,519,0,1257,1,riao3,riau3,7.13648320859025,2.0415,12
42,8,7,990,1,914,1,riao3,riau3,6.81783057145415,2.0415,12
42,22,8,1130,1,1519,1,riao3,riau3,7.32580750259577,2.0415,12
43,2,8,1241,1,1472,1,piei3,Piei3,7.29437729928882,2.574,2
43,1,4,494,0,706,1,piei3,Piei3,6.55961523749324,2.574,2
43,8,2,192,1,1198,1,piei3,Piei3,7.08840877867539,2.574,2
43,22,5,642,0,871,1,piei3,Piei3,6.7696419768525,2.574,2
44,22,1,158,1,2899,1,king1,KiN1,7.97212112892166,2.339,14
44,8,9,1309,0,768,1,king1,KiN1,6.64378973314767,2.339,14
44,2,10,1527,0,935,1,king1,KiN1,6.84054652928869,2.339,14
44,1,1,44,0,1029,1,king1,KiN1,6.93634273583405,2.339,14
45,1,10,1558,0,975,1,zhia3,Zia3,6.88243747099785,1.7383,7
45,8,9,1292,0,929,1,zhia3,Zia3,6.83410873881384,1.7383,7
45,22,2,258,0,3050,1,zhia3,Zia3,8.02289686960146,1.7383,7
46,2,6,949,0,737,1,siai2,siai2,6.60258789218934,1.9437,2
46,8,5,726,0,1900,1,siai2,siai2,7.54960916515453,1.9437,2
46,20,3,387,1,237,1,siai2,siai2,5.46806014113513,1.9437,2
46,1,8,1226,0,393,1,siai2,siai2,5.97380961186926,1.9437,2
46,22,1,87,0,2049,1,siai2,siai2,7.6251071482389,1.9437,2
47,8,6,817,0,820,1,jvou4,jyou4,6.7093043402583,1.7638,0
47,1,10,1540,0,406,1,jvou4,jyou4,6.00635315960173,1.7638,0
47,22,6,884,1,2701,1,jvou4,jyou4,7.90137735379262,1.7638,0
47,2,4,584,0,1854,1,jvou4,jyou4,7.5251007461258,1.7638,0
48,22,6,907,0,2446,1,pvn3,Pyn3,7.80220931624712,2.1357,4
48,8,3,335,0,1382,1,pvn3,Pyn3,7.23128700432762,2.1357,4
48,1,4,500,0,884,1,pvn3,Pyn3,6.78445706263764,2.1357,4
48,2,2,186,0,2736,1,pvn3,Pyn3,7.91425227874244,2.1357,4
49,8,7,1021,1,356,1,siao4,siau4,5.87493073085203,1.9391,12
49,1,8,1191,0,466,1,siao4,siau4,6.14418563412565,1.9391,12
49,20,2,168,1,231,1,siao4,siau4,5.44241771052179,1.9391,12
49,22,2,305,1,3331,1,siao4,siau4,8.11102783819368,1.9391,12
49,2,9,1358,0,1704,1,siao4,siau4,7.44073370738926,1.9391,12
50,2,3,354,0,1292,1,die4,ti^4,7.16394668434255,2.6116,14
50,1,9,1283,0,463,1,die4,ti^4,6.13772705408623,2.6116,14
50,20,10,1448,1,240,1,die4,ti^4,5.48063892334199,2.6116,14
50,22,10,1581,0,643,1,die4,ti^4,6.46614472423762,2.6116,14
50,8,4,522,0,2376,1,die4,ti^4,7.77317368048254,2.6116,14
51,22,5,663,0,1290,1,hiong1,hyoN1,7.16239749735572,2.9172,5
51,8,5,799,0,1476,1,hiong1,hyoN1,7.29709100516042,2.9172,5
51,20,4,541,1,354,1,hiong1,hyoN1,5.86929691313377,2.9172,5
51,1,1,141,0,1497,1,hiong1,hyoN1,7.31121838441963,2.9172,5
51,2,2,179,1,1069,1,hiong1,hyoN1,6.97447891102505,2.9172,5
52,2,2,177,1,1952,1,mong3,muoN3,7.57660976697304,2.0721,4
52,22,6,906,1,2306,1,mong3,muoN3,7.743269700829,2.0721,4
52,1,7,1017,0,1164,1,mong3,muoN3,7.05961762829138,2.0721,4
52,8,8,1172,1,937,1,mong3,muoN3,6.84268328223842,2.0721,4
53,1,3,352,0,768,1,fvang4,fyaN4,6.64378973314767,2.6817,1
53,8,5,703,0,896,1,fvang4,fyaN4,6.79794041297493,2.6817,1
53,22,4,597,0,2095,1,fvang4,fyaN4,7.64730883235624,2.6817,1
53,2,1,123,0,2701,1,fvang4,fyaN4,7.90137735379262,2.6817,1
54,22,3,331,1,1500,1,shia4,Sia4,7.3132203870903,1.7383,7
54,20,1,89,1,253,1,shia4,Sia4,5.53338948872752,1.7383,7
54,1,6,941,0,1089,1,shia4,Sia4,6.99301512293296,1.7383,7
54,8,8,1239,0,1168,1,shia4,Sia4,7.06304816338817,1.7383,7
54,2,2,224,0,2660,1,shia4,Sia4,7.88608140177575,1.7383,7
55,20,8,1249,1,244,1,gvai1,kyai1,5.4971682252932,1.8462,2
55,8,2,309,1,2589,1,gvai1,kyai1,7.85902697975154,1.8462,2
55,22,4,589,1,1864,1,gvai1,kyai1,7.53047999524554,1.8462,2
55,2,7,1006,0,1572,1,gvai1,kyai1,7.36010397298915,1.8462,2
55,1,2,298,0,1483,1,gvai1,kyai1,7.30182234213793,1.8462,2
56,8,8,1253,1,752,1,hva2,hya2,6.62273632394984,1.6164,2
56,22,2,284,0,2532,1,hva2,hya2,7.83676478326407,1.6164,2
56,2,4,580,0,3079,1,hva2,hya2,8.0323601479245,1.6164,2
56,1,6,957,0,1496,1,hva2,hya2,7.31055015853442,1.6164,2
57,22,7,969,0,1437,1,dvo2,tyo2,7.27031288607902,1.3483,1
57,8,4,632,0,2438,1,dvo2,tyo2,7.79893331004122,1.3483,1
57,2,3,444,0,1271,1,dvo2,tyo2,7.14755927118945,1.3483,1
57,1,5,755,0,454,1,dvo2,tyo2,6.11809719804135,1.3483,1
58,1,7,1021,0,750,1,gian1,ki[n1,6.62007320653036,2.7481,13
58,22,9,1323,0,953,1,gian1,ki[n1,6.8596149036542,2.7481,13
58,20,6,826,1,409,1,gian1,ki[n1,6.0137151560428,2.7481,13
58,8,9,1330,0,666,1,gian1,ki[n1,6.50128967054039,2.7481,13
58,2,1,41,0,1607,1,gian1,ki[n1,7.38212436573751,2.7481,13
59,2,1,23,0,1495,1,kvi1,Kyei1,7.30988148582479,2.2203,0
59,22,6,893,0,1457,1,kvi1,Kyei1,7.2841348061952,2.2203,0
59,8,9,1344,0,999,1,kvi1,Kyei1,6.90675477864855,2.2203,0
59,1,4,605,0,259,1,kvi1,Kyei1,5.55682806169954,2.2203,0
60,2,8,1251,0,1250,1,fio3,fio3,7.13089883029635,1.5089,2
60,1,7,974,0,566,1,fio3,fio3,6.33859407820318,1.5089,2
60,22,9,1397,0,1314,1,fio3,fio3,7.18083119904456,1.5089,2
60,8,4,587,0,2167,1,fio3,fio3,7.68109900153636,1.5089,2
61,1,9,1312,0,493,1,tvai4,Tyai4,6.20050917404269,1.8462,1
61,22,4,496,0,1687,1,tvai4,Tyai4,7.43070708254597,1.8462,1
61,20,9,1335,1,246,1,tvai4,Tyai4,5.50533153593236,1.8462,1
61,8,5,715,1,1669,1,tvai4,Tyai4,7.41997992366183,1.8462,1
61,2,4,488,0,706,1,tvai4,Tyai4,6.55961523749324,1.8462,1
62,22,7,1090,1,2318,1,luou4,luou4,7.7484600238997,2.6479,2
62,8,5,680,1,1451,1,luou4,luou4,7.28000825288419,2.6479,2
62,1,3,335,0,1400,1,luou4,luou4,7.24422751560335,2.6479,2
62,2,9,1282,0,904,1,luou4,luou4,6.80682936039218,2.6479,2
63,1,9,1439,0,539,1,tiei1,Tiei1,6.289715570909,2.3663,1
63,2,9,1365,0,849,1,tiei1,Tiei1,6.74405918631135,2.3663,1
63,8,9,1327,0,1026,1,tiei1,Tiei1,6.93342302573071,2.3663,1
63,22,6,830,1,2036,1,tiei1,Tiei1,7.61874237767041,2.3663,1
64,8,9,1399,0,1001,1,kue3,Kue3,6.90875477931522,2.5975,10
64,2,8,1197,0,956,1,kue3,Kue3,6.8627579130514,2.5975,10
64,1,9,1365,0,1055,1,kue3,Kue3,6.96129604591017,2.5975,10
64,22,8,1244,0,664,1,kue3,Kue3,6.49828214947643,2.5975,10
65,1,10,1521,0,453,1,gei1,kei1,6.11589212548303,2.8267,15
65,8,10,1522,0,837,1,gei1,kei1,6.72982407048948,2.8267,15
65,22,4,489,0,1964,1,gei1,kei1,7.58273848891441,2.8267,15
66,8,4,508,1,1643,1,lvi2,lyei2,7.40427911803727,4.6218,1
66,1,7,1045,0,640,1,lvi2,lyei2,6.46146817635372,4.6218,1
66,22,10,1454,0,701,1,lvi2,lyei2,6.55250788703459,4.6218,1
66,2,10,1490,0,2646,1,lvi2,lyei2,7.8808043446749,4.6218,1
67,20,2,197,1,287,1,quou2,quou2,5.65948221575962,2.8235,0
67,1,9,1388,0,1216,1,quou2,quou2,7.10332206252611,2.8235,0
67,2,3,473,0,1050,1,quou2,quou2,6.95654544315157,2.8235,0
67,22,8,1170,1,1752,1,quou2,quou2,7.46851327149634,2.8235,0
67,8,10,1521,0,693,1,quou2,quou2,6.5410299991899,2.8235,0
68,8,7,1091,0,1729,1,jvou1,jyou1,7.45529848568329,1.7638,0
68,22,6,945,1,2494,1,jvou1,jyou1,7.82164312623998,1.7638,0
68,1,10,1554,0,468,1,jvou1,jyou1,6.14846829591765,1.7638,0
68,20,4,573,1,246,1,jvou1,jyou1,5.50533153593236,1.7638,0
68,2,10,1525,0,911,1,jvou1,jyou1,6.81454289725996,1.7638,0
69,22,3,340,0,2924,1,zvang2,cyaN2,7.98070782086967,2.6817,1
69,2,5,641,0,939,1,zvang2,cyaN2,6.84481547920826,2.6817,1
69,1,9,1301,0,253,1,zvang2,cyaN2,5.53338948872752,2.6817,1
69,8,3,462,0,1646,1,zvang2,cyaN2,7.40610338123702,2.6817,1
70,1,8,1185,0,625,1,sv1,sy1,6.4377516497364,1.6827,7
70,8,1,142,0,1246,1,sv1,sy1,7.1276936993474,1.6827,7
70,2,7,1033,0,793,1,sv1,sy1,6.67582322163485,1.6827,7
70,20,2,315,1,241,1,sv1,sy1,5.48479693349065,1.6827,7
70,22,9,1287,0,829,1,sv1,sy1,6.7202201551353,1.6827,7
71,2,7,992,0,781,1,mvang3,myaN3,6.66057514983969,2.6817,1
71,1,5,770,0,1521,1,mvang3,myaN3,7.32712329225929,2.6817,1
71,22,10,1491,0,2499,1,mvang3,myaN3,7.82364593083495,2.6817,1
71,8,3,422,0,810,1,mvang3,myaN3,6.69703424766648,2.6817,1
72,2,3,396,0,1361,1,ja2,ja2,7.21597500265147,1.5283,23
72,1,3,409,0,703,1,ja2,ja2,6.55535689181067,1.5283,23
72,20,5,718,1,270,1,ja2,ja2,5.59842195899838,1.5283,23
72,22,9,1301,0,1061,1,ja2,ja2,6.96696713861398,1.5283,23
72,8,7,993,0,1211,1,ja2,ja2,7.09920174355309,1.5283,23
73,2,3,427,0,1529,1,shvi4,Syei4,7.33236920592906,2.2203,1
73,8,7,1029,1,256,1,shvi4,Syei4,5.54517744447956,2.2203,1
73,20,3,431,1,275,1,shvi4,Syei4,5.61677109766657,2.2203,1
73,1,4,511,0,849,1,shvi4,Syei4,6.74405918631135,2.2203,1
73,22,4,534,1,1552,1,shvi4,Syei4,7.34729970074316,2.2203,1
74,2,10,1533,1,1207,1,nang1,naN1,7.09589322109753,2.2182,28
74,8,8,1273,1,425,1,nang1,naN1,6.05208916892442,2.2182,28
74,22,6,801,0,928,1,nang1,naN1,6.8330317327862,2.2182,28
74,1,6,819,1,1350,1,nang1,naN1,7.20785987143248,2.2182,28
75,2,1,26,1,1387,1,ke3,Ke3,7.23489842031483,2.88,19
75,22,3,391,0,1799,1,ke3,Ke3,7.49498623395053,2.88,19
75,8,6,880,0,1388,1,ke3,Ke3,7.23561914106675,2.88,19
75,1,7,1090,0,638,1,ke3,Ke3,6.45833828334479,2.88,19
76,22,6,870,1,1579,1,so3,so3,7.36454701425564,3.0022,14
76,2,4,598,0,697,1,so3,so3,6.54678541076052,3.0022,14
76,1,9,1339,0,339,1,so3,so3,5.82600010738045,3.0022,14
76,8,10,1526,0,535,1,so3,so3,6.28226674689601,3.0022,14
77,8,7,996,1,309,1,cie1,Ci[1,5.73334127689775,1.7444,12
77,1,9,1328,0,281,1,cie1,Ci[1,5.63835466933375,1.7444,12
77,22,9,1403,0,466,1,cie1,Ci[1,6.14418563412565,1.7444,12
77,2,9,1360,0,1444,1,cie1,Ci[1,7.27517231945277,1.7444,12
77,20,4,611,1,288,1,cie1,Ci[1,5.66296048013595,1.7444,12
78,22,9,1431,1,1423,1,chuo2,zuo2,7.26052259808985,2.9912,18
78,2,6,809,0,831,1,chuo2,zuo2,6.72262979485545,2.9912,18
78,1,8,1165,0,395,1,chuo2,zuo2,5.97888576490112,2.9912,18
78,8,2,176,0,1441,1,chuo2,zuo2,7.27309259599952,2.9912,18
78,20,9,1355,1,556,1,chuo2,zuo2,6.32076829425058,2.9912,18
79,8,8,1234,1,860,1,pun1,Pun1,6.75693238924755,2.2613,20
79,2,1,104,1,2190,1,pun1,Pun1,7.69165682281055,2.2613,20
79,22,3,416,0,1561,1,pun1,Pun1,7.35308192051543,2.2613,20
79,1,1,70,0,2339,1,pun1,Pun1,7.75747876658418,2.2613,20
80,22,5,698,0,1657,1,siao1,siau1,7.41276401742656,1.9391,12
80,20,8,1278,1,226,1,siao1,siau1,5.42053499927229,1.9391,12
80,8,6,912,1,924,1,siao1,siau1,6.82871207164168,1.9391,12
80,2,7,1096,1,2261,1,siao1,siau1,7.72356247227797,1.9391,12
80,1,5,773,0,784,1,siao1,siau1,6.66440902035041,1.9391,12
81,20,3,359,1,288,1,giu4,kiou4,5.66296048013595,1.8922,1
81,1,5,676,0,907,1,giu4,kiou4,6.81014245011514,1.8922,1
81,2,9,1361,0,1789,1,giu4,kiou4,7.48941208350872,1.8922,1
81,22,8,1171,0,1080,1,giu4,kiou4,6.98471632011827,1.8922,1
81,8,6,938,1,1514,1,giu4,kiou4,7.32251043399739,1.8922,1
82,1,3,471,0,1270,1,gei4,kei4,7.14677217945264,2.8267,15
82,2,3,446,1,1059,1,gei4,kei4,6.96508034560141,2.8267,15
82,22,2,199,0,2632,1,gei4,kei4,7.87549929244521,2.8267,15
82,8,5,682,1,1366,1,gei4,kei4,7.21964204013074,2.8267,15
