ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII,logRT
34,1,6,852,0,595,1,zhiu2,Ziou2,6.38856140554563
34,2,6,922,0,518,1,zhiu2,Ziou2,6.24997524225948
34,8,9,1286,0,675,1,zhiu2,Ziou2,6.51471269087253
34,22,10,1537,1,2362,1,zhiu2,Ziou2,7.76726399675731
35,8,9,1368,0,317,1,quang1,quaN1,5.75890177387728
35,22,5,791,0,2198,1,quang1,quaN1,7.69530313496357
35,1,7,1064,0,1252,1,quang1,quaN1,7.13249755166004
35,20,2,229,1,267,1,quang1,quaN1,5.58724865840025
35,2,1,156,1,2160,1,quang1,quaN1,7.67786350067821
36,1,9,1397,0,1087,1,quang2,quaN2,6.99117688712121
36,2,10,1526,0,817,1,quang2,quaN2,6.70563909486
36,8,1,10,1,2487,1,quang2,quaN2,7.8188324438034
36,22,10,1447,0,652,1,quang2,quaN2,6.48004456192665
37,20,4,550,1,283,1,qe4,q^4,5.64544689764324
37,1,7,964,0,857,1,qe4,q^4,6.75343791859778
37,2,9,1314,0,820,1,qe4,q^4,6.7093043402583
37,22,10,1450,0,609,1,qe4,q^4,6.4118182677099
37,8,8,1147,0,763,1,qe4,q^4,6.63725803128446
38,8,10,1452,1,871,1,diao2,tiau2,6.7696419768525
38,1,7,1084,0,965,1,diao2,tiau2,6.87212810133899
38,22,1,62,1,2657,1,diao2,tiau2,7.88495294575981
38,20,1,112,1,347,1,diao2,tiau2,5.84932477994686
38,2,2,211,0,1765,1,diao2,tiau2,7.4759059693674
39,8,8,1154,0,616,1,hvang3,hyaN3,6.42324696353352
39,1,6,818,0,553,1,hvang3,hyaN3,6.31535800152233
39,2,1,38,0,2177,1,hvang3,hyaN3,7.68570306123455
39,20,4,508,1,1845,1,hvang3,hyaN3,7.52023455647463
39,22,1,81,0,1554,1,hvang3,hyaN3,7.34858753092759
40,1,6,842,0,524,1,sv4,sy4,6.26149168432104
40,22,1,8,1,1635,1,sv4,sy4,7.39939808333135
40,8,10,1536,0,728,1,sv4,sy4,6.59030104819669
40,2,9,1345,0,1490,1,sv4,sy4,7.30653139893951
41,2,5,671,0,889,1,svang3,syaN3,6.7900972355139
41,1,5,713,0,737,1,svang3,syaN3,6.60258789218934
41,8,4,573,1,1978,1,svang3,syaN3,7.58984151218266
41,22,8,1193,0,715,1,svang3,syaN3,6.57228254269401
42,2,2,212,0,2711,1,riao3,riau3,7.90507284949867
42,1,4,519,0,1257,1,riao3,riau3,7.13648320859025
42,8,7,990,1,914,1,riao3,riau3,6.81783057145415
42,22,8,1130,1,1519,1,riao3,riau3,7.32580750259577
43,2,8,1241,1,1472,1,piei3,Piei3,7.29437729928882
43,1,4,494,0,706,1,piei3,Piei3,6.55961523749324
43,8,2,192,1,1198,1,piei3,Piei3,7.08840877867539
43,22,5,642,0,871,1,piei3,Piei3,6.7696419768525
44,22,1,158,1,2899,1,king1,KiN1,7.97212112892166
44,8,9,1309,0,768,1,king1,KiN1,6.64378973314767
44,2,10,1527,0,935,1,king1,KiN1,6.84054652928869
44,1,1,44,0,1029,1,king1,KiN1,6.93634273583405
45,1,10,1558,0,975,1,zhia3,Zia3,6.88243747099785
45,8,9,1292,0,929,1,zhia3,Zia3,6.83410873881384
45,22,2,258,0,3050,1,zhia3,Zia3,8.02289686960146
46,2,6,949,0,737,1,siai2,siai2,6.60258789218934
46,8,5,726,0,1900,1,siai2,siai2,7.54960916515453
46,20,3,387,1,237,1,siai2,siai2,5.46806014113513
46,1,8,1226,0,393,1,siai2,siai2,5.97380961186926
46,22,1,87,0,2049,1,siai2,siai2,7.6251071482389
47,8,6,817,0,820,1,jvou4,jyou4,6.7093043402583
47,1,10,1540,0,406,1,jvou4,jyou4,6.00635315960173
47,22,6,884,1,2701,1,jvou4,jyou4,7.90137735379262
47,2,4,584,0,1854,1,jvou4,jyou4,7.5251007461258
48,22,6,907,0,2446,1,pvn3,Pyn3,7.80220931624712
48,8,3,335,0,1382,1,pvn3,Pyn3,7.23128700432762
48,1,4,500,0,884,1,pvn3,Pyn3,6.78445706263764
48,2,2,186,0,2736,1,pvn3,Pyn3,7.91425227874244
49,8,7,1021,1,356,1,siao4,siau4,5.87493073085203
49,1,8,1191,0,466,1,siao4,siau4,6.14418563412565
49,20,2,168,1,231,1,siao4,siau4,5.44241771052179
49,22,2,305,1,3331,1,siao4,siau4,8.11102783819368
49,2,9,1358,0,1704,1,siao4,siau4,7.44073370738926
50,2,3,354,0,1292,1,die4,ti^4,7.16394668434255
50,1,9,1283,0,463,1,die4,ti^4,6.13772705408623
50,20,10,1448,1,240,1,die4,ti^4,5.48063892334199
50,22,10,1581,0,643,1,die4,ti^4,6.46614472423762
50,8,4,522,0,2376,1,die4,ti^4,7.77317368048254
51,22,5,663,0,1290,1,hiong1,hyoN1,7.16239749735572
51,8,5,799,0,1476,1,hiong1,hyoN1,7.29709100516042
51,20,4,541,1,354,1,hiong1,hyoN1,5.86929691313377
51,1,1,141,0,1497,1,hiong1,hyoN1,7.31121838441963
51,2,2,179,1,1069,1,hiong1,hyoN1,6.97447891102505
52,2,2,177,1,1952,1,mong3,muoN3,7.57660976697304
52,22,6,906,1,2306,1,mong3,muoN3,7.743269700829
52,1,7,1017,0,1164,1,mong3,muoN3,7.05961762829138
52,8,8,1172,1,937,1,mong3,muoN3,6.84268328223842
53,1,3,352,0,768,1,fvang4,fyaN4,6.64378973314767
53,8,5,703,0,896,1,fvang4,fyaN4,6.79794041297493
53,22,4,597,0,2095,1,fvang4,fyaN4,7.64730883235624
53,2,1,123,0,2701,1,fvang4,fyaN4,7.90137735379262
54,22,3,331,1,1500,1,shia4,Sia4,7.3132203870903
54,20,1,89,1,253,1,shia4,Sia4,5.53338948872752
54,1,6,941,0,1089,1,shia4,Sia4,6.99301512293296
54,8,8,1239,0,1168,1,shia4,Sia4,7.06304816338817
54,2,2,224,0,2660,1,shia4,Sia4,7.88608140177575
55,20,8,1249,1,244,1,gvai1,kyai1,5.4971682252932
55,8,2,309,1,2589,1,gvai1,kyai1,7.85902697975154
55,22,4,589,1,1864,1,gvai1,kyai1,7.53047999524554
55,2,7,1006,0,1572,1,gvai1,kyai1,7.36010397298915
55,1,2,298,0,1483,1,gvai1,kyai1,7.30182234213793
56,8,8,1253,1,752,1,hva2,hya2,6.62273632394984
56,22,2,284,0,2532,1,hva2,hya2,7.83676478326407
56,2,4,580,0,3079,1,hva2,hya2,8.0323601479245
56,1,6,957,0,1496,1,hva2,hya2,7.31055015853442
57,22,7,969,0,1437,1,dvo2,tyo2,7.27031288607902
57,8,4,632,0,2438,1,dvo2,tyo2,7.79893331004122
57,2,3,444,0,1271,1,dvo2,tyo2,7.14755927118945
57,1,5,755,0,454,1,dvo2,tyo2,6.11809719804135
58,1,7,1021,0,750,1,gian1,ki[n1,6.62007320653036
58,22,9,1323,0,953,1,gian1,ki[n1,6.8596149036542
58,20,6,826,1,409,1,gian1,ki[n1,6.0137151560428
58,8,9,1330,0,666,1,gian1,ki[n1,6.50128967054039
58,2,1,41,0,1607,1,gian1,ki[n1,7.38212436573751
59,2,1,23,0,1495,1,kvi1,Kyei1,7.30988148582479
59,22,6,893,0,1457,1,kvi1,Kyei1,7.2841348061952
59,8,9,1344,0,999,1,kvi1,Kyei1,6.90675477864855
59,1,4,605,0,259,1,kvi1,Kyei1,5.55682806169954
60,2,8,1251,0,1250,1,fio3,fio3,7.13089883029635
60,1,7,974,0,566,1,fio3,fio3,6.33859407820318
60,22,9,1397,0,1314,1,fio3,fio3,7.18083119904456
60,8,4,587,0,2167,1,fio3,fio3,7.68109900153636
61,1,9,1312,0,493,1,tvai4,Tyai4,6.20050917404269
61,22,4,496,0,1687,1,tvai4,Tyai4,7.43070708254597
61,20,9,1335,1,246,1,tvai4,Tyai4,5.50533153593236
61,8,5,715,1,1669,1,tvai4,Tyai4,7.41997992366183
61,2,4,488,0,706,1,tvai4,Tyai4,6.55961523749324
62,22,7,1090,1,2318,1,luou4,luou4,7.7484600238997
62,8,5,680,1,1451,1,luou4,luou4,7.28000825288419
62,1,3,335,0,1400,1,luou4,luou4,7.24422751560335
62,2,9,1282,0,904,1,luou4,luou4,6.80682936039218
63,1,9,1439,0,539,1,tiei1,Tiei1,6.289715570909
63,2,9,1365,0,849,1,tiei1,Tiei1,6.74405918631135
63,8,9,1327,0,1026,1,tiei1,Tiei1,6.93342302573071
63,22,6,830,1,2036,1,tiei1,Tiei1,7.61874237767041
64,8,9,1399,0,1001,1,kue3,Kue3,6.90875477931522
64,2,8,1197,0,956,1,kue3,Kue3,6.8627579130514
64,1,9,1365,0,1055,1,kue3,Kue3,6.96129604591017
64,22,8,1244,0,664,1,kue3,Kue3,6.49828214947643
65,1,10,1521,0,453,1,gei1,kei1,6.11589212548303
65,8,10,1522,0,837,1,gei1,kei1,6.72982407048948
65,22,4,489,0,1964,1,gei1,kei1,7.58273848891441
66,8,4,508,1,1643,1,lvi2,lyei2,7.40427911803727
66,1,7,1045,0,640,1,lvi2,lyei2,6.46146817635372
66,22,10,1454,0,701,1,lvi2,lyei2,6.55250788703459
66,2,10,1490,0,2646,1,lvi2,lyei2,7.8808043446749
67,20,2,197,1,287,1,quou2,quou2,5.65948221575962
67,1,9,1388,0,1216,1,quou2,quou2,7.10332206252611
67,2,3,473,0,1050,1,quou2,quou2,6.95654544315157
67,22,8,1170,1,1752,1,quou2,quou2,7.46851327149634
67,8,10,1521,0,693,1,quou2,quou2,6.5410299991899
68,8,7,1091,0,1729,1,jvou1,jyou1,7.45529848568329
68,22,6,945,1,2494,1,jvou1,jyou1,7.82164312623998
68,1,10,1554,0,468,1,jvou1,jyou1,6.14846829591765
68,20,4,573,1,246,1,jvou1,jyou1,5.50533153593236
68,2,10,1525,0,911,1,jvou1,jyou1,6.81454289725996
69,22,3,340,0,2924,1,zvang2,cyaN2,7.98070782086967
69,2,5,641,0,939,1,zvang2,cyaN2,6.84481547920826
69,1,9,1301,0,253,1,zvang2,cyaN2,5.53338948872752
69,8,3,462,0,1646,1,zvang2,cyaN2,7.40610338123702
70,1,8,1185,0,625,1,sv1,sy1,6.4377516497364
70,8,1,142,0,1246,1,sv1,sy1,7.1276936993474
70,2,7,1033,0,793,1,sv1,sy1,6.67582322163485
70,20,2,315,1,241,1,sv1,sy1,5.48479693349065
70,22,9,1287,0,829,1,sv1,sy1,6.7202201551353
71,2,7,992,0,781,1,mvang3,myaN3,6.66057514983969
71,1,5,770,0,1521,1,mvang3,myaN3,7.32712329225929
71,22,10,1491,0,2499,1,mvang3,myaN3,7.82364593083495
71,8,3,422,0,810,1,mvang3,myaN3,6.69703424766648
72,2,3,396,0,1361,1,ja2,ja2,7.21597500265147
72,1,3,409,0,703,1,ja2,ja2,6.55535689181067
72,20,5,718,1,270,1,ja2,ja2,5.59842195899838
72,22,9,1301,0,1061,1,ja2,ja2,6.96696713861398
72,8,7,993,0,1211,1,ja2,ja2,7.09920174355309
73,2,3,427,0,1529,1,shvi4,Syei4,7.33236920592906
73,8,7,1029,1,256,1,shvi4,Syei4,5.54517744447956
73,20,3,431,1,275,1,shvi4,Syei4,5.61677109766657
73,1,4,511,0,849,1,shvi4,Syei4,6.74405918631135
73,22,4,534,1,1552,1,shvi4,Syei4,7.34729970074316
74,2,10,1533,1,1207,1,nang1,naN1,7.09589322109753
74,8,8,1273,1,425,1,nang1,naN1,6.05208916892442
74,22,6,801,0,928,1,nang1,naN1,6.8330317327862
74,1,6,819,1,1350,1,nang1,naN1,7.20785987143248
75,2,1,26,1,1387,1,ke3,Ke3,7.23489842031483
75,22,3,391,0,1799,1,ke3,Ke3,7.49498623395053
75,8,6,880,0,1388,1,ke3,Ke3,7.23561914106675
75,1,7,1090,0,638,1,ke3,Ke3,6.45833828334479
76,22,6,870,1,1579,1,so3,so3,7.36454701425564
76,2,4,598,0,697,1,so3,so3,6.54678541076052
76,1,9,1339,0,339,1,so3,so3,5.82600010738045
76,8,10,1526,0,535,1,so3,so3,6.28226674689601
77,8,7,996,1,309,1,cie1,Ci[1,5.73334127689775
77,1,9,1328,0,281,1,cie1,Ci[1,5.63835466933375
77,22,9,1403,0,466,1,cie1,Ci[1,6.14418563412565
77,2,9,1360,0,1444,1,cie1,Ci[1,7.27517231945277
77,20,4,611,1,288,1,cie1,Ci[1,5.66296048013595
78,22,9,1431,1,1423,1,chuo2,zuo2,7.26052259808985
78,2,6,809,0,831,1,chuo2,zuo2,6.72262979485545
78,1,8,1165,0,395,1,chuo2,zuo2,5.97888576490112
78,8,2,176,0,1441,1,chuo2,zuo2,7.27309259599952
78,20,9,1355,1,556,1,chuo2,zuo2,6.32076829425058
79,8,8,1234,1,860,1,pun1,Pun1,6.75693238924755
79,2,1,104,1,2190,1,pun1,Pun1,7.69165682281055
79,22,3,416,0,1561,1,pun1,Pun1,7.35308192051543
79,1,1,70,0,2339,1,pun1,Pun1,7.75747876658418
80,22,5,698,0,1657,1,siao1,siau1,7.41276401742656
80,20,8,1278,1,226,1,siao1,siau1,5.42053499927229
80,8,6,912,1,924,1,siao1,siau1,6.82871207164168
80,2,7,1096,1,2261,1,siao1,siau1,7.72356247227797
80,1,5,773,0,784,1,siao1,siau1,6.66440902035041
81,20,3,359,1,288,1,giu4,kiou4,5.66296048013595
81,1,5,676,0,907,1,giu4,kiou4,6.81014245011514
81,2,9,1361,0,1789,1,giu4,kiou4,7.48941208350872
81,22,8,1171,0,1080,1,giu4,kiou4,6.98471632011827
81,8,6,938,1,1514,1,giu4,kiou4,7.32251043399739
82,1,3,471,0,1270,1,gei4,kei4,7.14677217945264
82,2,3,446,1,1059,1,gei4,kei4,6.96508034560141
82,22,2,199,0,2632,1,gei4,kei4,7.87549929244521
82,8,5,682,1,1366,1,gei4,kei4,7.21964204013074
83,1,4,542,0,562,1,tvn3,Tyn3,6.33150184989369
83,22,7,1034,0,1504,1,tvn3,Tyn3,7.31588350450979
83,20,10,1480,1,336,1,tvn3,Tyn3,5.8171111599632
83,8,10,1512,0,586,1,tvn3,Tyn3,6.37331978957701
83,2,10,1462,0,1276,1,tvn3,Tyn3,7.15148546390474
84,22,3,339,0,2748,1,zhun4,Zun4,7.91862865334224
84,20,5,785,1,246,1,zhun4,Zun4,5.50533153593236
84,8,2,174,1,1532,1,zhun4,Zun4,7.33432935030054
84,1,7,995,0,1801,1,zhun4,Zun4,7.49609734517596
84,2,2,167,0,1795,1,zhun4,Zun4,7.49276030092238
85,1,4,579,0,353,1,mue2,mu^2,5.8664680569333
85,20,1,76,1,680,1,mue2,mu^2,6.52209279817015
85,8,9,1281,0,915,1,mue2,mu^2,6.81892406527552
85,22,5,683,0,2099,1,mue2,mu^2,7.64921631982063
85,2,10,1496,0,1180,1,mue2,mu^2,7.07326971745971
86,20,1,115,1,265,1,qu3,qu3,5.57972982598622
86,22,5,717,0,2241,1,qu3,qu3,7.71467747380093
86,2,4,508,0,2677,1,qu3,qu3,7.89245204352035
86,1,3,417,0,678,1,qu3,qu3,6.5191472879404
86,8,1,30,1,1920,1,qu3,qu3,7.56008046502183
87,22,4,601,0,1607,1,tv3,Ty3,7.38212436573751
87,8,3,353,0,2398,1,tv3,Ty3,7.78239033558746
87,1,10,1539,0,553,1,tv3,Ty3,6.31535800152233
87,20,1,130,1,234,1,tv3,Ty3,5.4553211153577
87,2,7,1073,0,3385,1,tv3,Ty3,8.12710918534638
88,8,6,950,1,713,1,tvi2,Tyei2,6.5694814204143
88,20,8,1165,1,244,1,tvi2,Tyei2,5.4971682252932
88,22,5,741,0,2153,1,tvi2,Tyei2,7.67461749736436
88,1,2,244,0,942,1,tvi2,Tyei2,6.84800527457636
88,2,2,260,0,1435,1,tvi2,Tyei2,7.26892012819372
89,8,7,1035,1,482,1,lio4,lio4,6.1779441140506
89,2,10,1585,0,1002,1,lio4,lio4,6.90975328164481
89,22,8,1183,1,1614,1,lio4,lio4,7.38647084882989
90,2,2,185,1,3737,1,ve1,y^1,8.22603842948548
90,8,4,597,0,1133,1,ve1,y^1,7.03262426102801
90,1,2,199,0,850,1,ve1,y^1,6.74523634948436
90,22,8,1212,0,1294,1,ve1,y^1,7.16549347506085
91,1,4,515,0,493,1,gve2,ky^2,6.20050917404269
91,22,3,436,0,2416,1,gve2,ky^2,7.78986855905471
91,20,1,42,1,1108,1,gve2,ky^2,7.01031186730723
91,2,3,440,0,1197,1,gve2,ky^2,7.08757370555797
91,8,1,43,0,1074,1,gve2,ky^2,6.97914527506881
92,22,8,1208,0,752,1,pen3,P^n3,6.62273632394984
92,1,4,524,0,753,1,pen3,P^n3,6.62406522779989
92,2,2,172,0,1962,1,pen3,P^n3,7.58171964012531
92,8,7,1087,0,1190,1,pen3,P^n3,7.08170858610557
92,20,1,105,1,1293,1,pen3,P^n3,7.16472037877186
93,22,2,233,0,1768,1,tei1,Tei1,7.47760424319759
93,8,3,477,0,1829,1,tei1,Tei1,7.51152464839087
93,1,3,395,0,1345,1,tei1,Tei1,7.20414929203594
94,2,1,80,0,2226,1,shio4,Sio4,7.70796153183549
94,22,1,3,0,1213,1,shio4,Sio4,7.10085190894405
94,8,6,859,0,995,1,shio4,Sio4,6.90274273715859
94,1,6,881,0,621,1,shio4,Sio4,6.43133108193348
95,8,1,135,1,2268,1,riu2,riou2,7.72665366484764
95,22,3,440,1,1909,1,riu2,riou2,7.55433482372575
95,20,8,1204,1,474,1,riu2,riou2,6.16120732169508
95,1,3,321,0,870,1,riu2,riou2,6.76849321164863
95,2,9,1378,0,760,1,riu2,riou2,6.63331843328038
96,1,10,1568,0,547,1,gvn2,kyn2,6.30444880242198
96,2,1,78,0,2241,1,gvn2,kyn2,7.71467747380093
96,8,10,1449,0,490,1,gvn2,kyn2,6.19440539110467
96,22,2,252,0,1661,1,gvn2,kyn2,7.41517510961329
96,20,6,825,1,521,1,gvn2,kyn2,6.25575004175337
97,1,5,749,0,645,1,jve3,jye3,6.46925031679577
97,22,8,1223,0,1261,1,jve3,jye3,7.13966033596492
97,2,6,884,0,2070,1,jve3,jye3,7.63530388625941
97,20,2,262,1,346,1,jve3,jye3,5.84643877505772
97,8,2,315,0,2941,1,jve3,jye3,7.986504938554
98,20,4,512,1,995,1,chiao2,ziau2,6.90274273715859
98,8,9,1333,0,1138,1,chiao2,ziau2,7.03702761468628
98,22,2,193,1,3054,1,chiao2,ziau2,8.02420748577858
98,2,5,799,0,791,1,chiao2,ziau2,6.67329796776765
98,1,3,322,0,939,1,chiao2,ziau2,6.84481547920826
99,2,9,1428,0,1374,1,fvan1,fy[n1,7.22548147278229
99,1,10,1463,0,470,1,fvan1,fy[n1,6.1527326947041
99,22,7,1064,0,1799,1,fvan1,fy[n1,7.49498623395053
99,8,10,1441,1,553,1,fvan1,fy[n1,6.31535800152233
